,job_title,company_name,job_location,date,Big Data,C/C++,Cloud,DevOps,Excel,GitHub,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,date,leadership,problem solving,project_management
75,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
76,Financial Analyst & Data Scientist,Nestle Canada,"North York, ON",17 days ago,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,17 days ago,1,0,1
77,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
78,Financial Analyst & Data Scientist,Nestlé,"North York, ON",17 days ago,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,17 days ago,1,0,1
79,Data Scientist,Aviva,"Markham, ON",1 day ago,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1 day ago,0,0,0
80,Post Graduate program - Data Science,SwissBorg,"Toronto, ON",29 days ago,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,29 days ago,0,0,0
81,Data Scientist,GALE Partners,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,30+ days ago,0,0,0
82,Data Scientist,Canadian Security Intelligence Service,"Ottawa, ON",30+ days ago,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,0
83,Data Scientist,Overbond,"Toronto, ON",30+ days ago,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,0
84,"Data Scientist - Calgary, AB",RS Energy Group,"Calgary, AB",30+ days ago,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,30+ days ago,0,0,0
